Apoyos políticos en 2.ª vuelta >> Partido,Apoyos políticos en 2.ª vuelta >> Candidato
Perú Libre,Pedro Castillo
Democracia Directa,Pedro Castillo
Nuevo Perú,Pedro Castillo
Renacimiento Unido Nacional,Pedro Castillo
FREPAP,Pedro Castillo
Juntos por el Perú,Pedro Castillo
Frente Amplio,Pedro Castillo
Unión por el Perú,Pedro Castillo
Fuerza Popular,Keiko Fujimori
Alianza para el Progreso,Keiko Fujimori
Avanza País,Keiko Fujimori
Perú Nación,Keiko Fujimori
Perú Patria Segura,Keiko Fujimori
Partido Popular Cristiano,Keiko Fujimori
Renovación Popular,Keiko Fujimori
Victoria Nacional,Keiko Fujimori
Acción Popular,No definido
Partido Aprista Peruano,No definido
Contigo,No definido
Frente de la Esperanza 2021,No definido
Partido Morado,No definido
Partido Nacionalista Peruano,No definido
Podemos Perú,No definido
Somos Perú,No definido
Todos por el Perú,No definido
