Partido político >> Fuente: ONPE,Votos >> Fuente: ONPE,% Votos válidos >> Fuente: ONPE,Escaños >> Fuente: ONPE
Perú Libre,1 724 303,13.41 %,37
Fuerza Popular,1 457 640,11.34 %,24
Renovación Popular,1 199 663,9.33 %,13
Acción Popular,1 159 707,9.02 %,16
Alianza para el Progreso,969 699,7.54 %,15
Avanza País,969 059,7.54 %,7
Juntos por el Perú,847 570,6.59 %,5
Somos Perú,788 488,6.13 %,5
Podemos Perú,750 238,5.83 %,5
Partido Morado,697 289,5.42 %,3
Otros,2 295 264,17.85 %,0
Total de votos válidos,12 858 920,72.56 %,130
Votos en blanco,2 126 712,12.00 %,
Votos nulos,2 737 099,15.44 %,
Total de votos emitidos,17 722 731,100 %,130
